year,id_match,match_number,stage,group,date_utc,match_status,result_type,home_team,away_team,home_name,away_name,home_score,away_score,home_penalties,away_penalties,winner,home_tactics,away_tactics,home_possession,away_possession,attendance,stadium,humidity,temperature,wind_speed,weather
1938,1175,11.0,Quarter-final,,1938-06-12,0,1,HUN,SUI,Hungary,Switzerland,2.0,0.0,,,HUN,,,,,,Victor Boucquey,,,,
1938,1164,13.0,Quarter-final,,1938-06-12,0,1,ITA,FRA,Italy,France,3.0,1.0,,,ITA,,,,,,Stade Olympique,,,,
1938,1152,10.0,Quarter-final,,1938-06-12,0,3,BRA,TCH,Brazil,Czechoslovakia,1.0,1.0,,,,,,,,,Stade de Bordeaux,,,,
1938,1158,12.0,Quarter-final,,1938-06-12,0,1,SWE,CUB,Sweden,Cuba,8.0,0.0,,,SWE,,,,,,Fort Carree,,,,
1938,1153,14.0,Quarter-final,,1938-06-14,0,1,BRA,TCH,Brazil,Czechoslovakia,2.0,1.0,,,BRA,,,,,,Stade de Bordeaux,,,,
1938,1149,16.0,Semi-final,,1938-06-16,0,1,ITA,BRA,Italy,Brazil,2.0,1.0,,,ITA,,,,,,Stade Vélodrome,,,,
1938,1176,15.0,Semi-final,,1938-06-16,0,1,HUN,SWE,Hungary,Sweden,5.0,1.0,,,HUN,,,,,,Parc des Princes,,,,
1938,1151,17.0,Match for third place,,1938-06-19,0,1,BRA,SWE,Brazil,Sweden,4.0,2.0,,,BRA,,,,,,Stade de Bordeaux,,,,
1938,1174,18.0,Final,,1938-06-19,0,1,ITA,HUN,Italy,Hungary,4.0,2.0,,,ITA,,,,,,Stade Olympique,,,,
1950,1187,1.0,Group Matches,Group 1,1950-06-24,0,1,BRA,MEX,Brazil,Mexico,4.0,0.0,,,BRA,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1230,5.0,Group Matches,Group 1,1950-06-25,0,1,YUG,SUI,Yugoslavia,Switzerland,3.0,0.0,,,YUG,,,,,,Independencia - Estádio Raimundo Sampaio,,,,
1950,1192,2.0,Group Matches,Group 2,1950-06-25,0,1,ENG,CHI,England,Chile,2.0,0.0,,,ENG,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1208,3.0,Group Matches,Group 2,1950-06-25,0,1,ESP,USA,Spain,USA,3.0,1.0,,,ESP,,,,,,Estádio Durival Britto e Silva,,,,
1950,1219,4.0,Group Matches,Group 3,1950-06-25,0,1,SWE,ITA,Sweden,Italy,3.0,2.0,,,SWE,,,,,,Estádio do Pacaembu,,,,
1950,1225,7.0,Group Matches,Group 1,1950-06-28,0,1,YUG,MEX,Yugoslavia,Mexico,4.0,1.0,,,YUG,,,,,,Eucaliptos - Estádio Ildo Meneghetti,,,,
1950,1188,6.0,Group Matches,Group 1,1950-06-28,0,1,BRA,SUI,Brazil,Switzerland,2.0,2.0,,,,,,,,,Estádio do Pacaembu,,,,
1950,1202,10.0,Group Matches,Group 2,1950-06-29,0,1,USA,ENG,USA,England,1.0,0.0,,,USA,,,,,,Independencia - Estádio Raimundo Sampaio,,,,
1950,1193,8.0,Group Matches,Group 2,1950-06-29,0,1,ESP,CHI,Spain,Chile,2.0,0.0,,,ESP,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1228,9.0,Group Matches,Group 3,1950-06-29,0,1,SWE,PAR,Sweden,Paraguay,2.0,2.0,,,,,,,,,Estádio Durival Britto e Silva,,,,
1950,1191,11.0,Group Matches,Group 1,1950-07-01,0,1,BRA,YUG,Brazil,Yugoslavia,2.0,0.0,,,BRA,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1199,12.0,Group Matches,Group 2,1950-07-02,0,1,ESP,ENG,Spain,England,1.0,0.0,,,ESP,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1194,15.0,Group Matches,Group 2,1950-07-02,0,1,CHI,USA,Chile,USA,5.0,2.0,,,CHI,,,,,,Ilha do Retiro,,,,
1950,1185,16.0,Group Matches,Group 4,1950-07-02,0,1,URU,BOL,Uruguay,Bolivia,8.0,0.0,,,URU,,,,,,Independencia - Estádio Raimundo Sampaio,,,,
1950,1218,13.0,Group Matches,Group 3,1950-07-02,0,1,ITA,PAR,Italy,Paraguay,2.0,0.0,,,ITA,,,,,,Estádio do Pacaembu,,,,
1950,1222,14.0,Group Matches,Group 1,1950-07-02,0,1,SUI,MEX,Switzerland,Mexico,2.0,1.0,,,SUI,,,,,,Eucaliptos - Estádio Ildo Meneghetti,,,,
1950,1189,18.0,Final Round,,1950-07-09,0,1,BRA,SWE,Brazil,Sweden,7.0,1.0,,,BRA,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1207,17.0,Final Round,,1950-07-09,0,1,URU,ESP,Uruguay,Spain,2.0,2.0,,,,,,,,,Estádio do Pacaembu,,,,
1950,1231,20.0,Final Round,,1950-07-13,0,1,URU,SWE,Uruguay,Sweden,3.0,2.0,,,URU,,,,,,Estádio do Pacaembu,,,,
1950,1186,19.0,Final Round,,1950-07-13,0,1,BRA,ESP,Brazil,Spain,6.0,1.0,,,BRA,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1190,22.0,Final Round,,1950-07-16,0,1,URU,BRA,Uruguay,Brazil,2.0,1.0,,,URU,,,,,,Maracanã - Estádio Jornalista Mário Filho,,,,
1950,1206,21.0,Final Round,,1950-07-16,0,1,SWE,ESP,Sweden,Spain,3.0,1.0,,,SWE,,,,,,Estádio do Pacaembu,,,,
1954,1236,2.0,Group Matches,Group 3,1954-06-16,0,1,AUT,SCO,Austria,Scotland,1.0,0.0,,,AUT,,,,,,Hardturm,,,,
1954,1249,3.0,Group Matches,Group 1,1954-06-16,0,1,BRA,MEX,Brazil,Mexico,5.0,0.0,,,BRA,,,,,,Charmilles,,,,
1954,1276,4.0,Group Matches,Group 1,1954-06-16,0,1,YUG,FRA,Yugoslavia,France,1.0,0.0,,,YUG,,,,,,La Pontaise,,,,
1954,1315,1.0,Group Matches,Group 3,1954-06-16,0,1,URU,TCH,Uruguay,Czechoslovakia,2.0,0.0,,,URU,,,,,,Stade de Suisse,,,,
1954,1300,7.0,Group Matches,Group 4,1954-06-17,0,1,SUI,ITA,Switzerland,Italy,2.0,1.0,,,SUI,,,,,,La Pontaise,,,,
1954,1294,8.0,Group Matches,Group 2,1954-06-17,0,1,HUN,KOR,Hungary,Korea Republic,9.0,0.0,,,HUN,,,,,,Hardturm,,,,
1954,1283,5.0,Group Matches,Group 2,1954-06-17,0,1,FRG,TUR,Germany FR,Türkiye,4.0,1.0,,,FRG,,,,,,Stade de Suisse,,,,
1954,1240,6.0,Group Matches,Group 4,1954-06-17,0,3,ENG,BEL,England,Belgium,4.0,4.0,,,,,,,,,St. Jakob-Park,,,,
1954,1313,12.0,Group Matches,Group 3,1954-06-19,0,1,URU,SCO,Uruguay,Scotland,7.0,0.0,,,URU,,,,,,St. Jakob-Park,,,,
